Data de Cadastro;Nº Fogo; Medida;Calibragem Máxima; Marca; Modelo;Nº de Série; Vida;Posição Início ;Situação ;Localização ;Veículo Atual;Km Inicial Veículo;Km Final Veículo;Km Rodado; Suco 01; Suco 02; Suco 03; Suco 04; Ativo; Cadastrado
10/01/2022;0001;215/75R;100;BRIDGESTONE;M814; 0; 1;DE;NOVO;DIANTEIRO;PSZ-2448; 111949;; ; 14; 14; 14; 0;SIM;Makson
10/01/2022;0002;215/75R;100;BRIDGESTONE;M814; 0; 1;DD;NOVO;DIANTEIRO;PSZ-2448; 111949;; ; 14; 14; 14; 0;SIM;Makson
10/01/2022;0003;215/75R;100;BRIDGESTONE;M814; 0; 1;TEE;NOVO;TRASEIRO;PSZ-2448; 111949;; ; 14; 14; 14; 0;SIM;Makson
10/01/2022;0004;215/75R;100;BRIDGESTONE;M814; 0; 1;TEI;NOVO;TRASEIRO;PSZ-2448; 111949;; ; 14; 14; 14; 0;SIM;Makson
10/01/2022;0005;215/75R;100;BRIDGESTONE;M814; 0; 1;TDE;NOVO;TRASEIRO;PSZ-2448; 111949;; ; 14; 14; 14; 0;SIM;Makson
10/01/2022;0006;215/75R;100;BRIDGESTONE;M814; 0; 1;TDI;NOVO;TRASEIRO;PSZ-2448; 111949;; ; 14; 14; 14; 0;SIM;Makson
10/01/2022;0007;215/75R;100;MICHELIN;XZE2; 0; 2;STP1;RECAPADO;STEP;PSZ-2448; 111949;; ; 14; 14; 14; 14;SIM;Makson
10/01/2022;0008;215/75R;100;MICHELIN;XZE2; 0; 1;DE;NOVO;DIANTEIRO;OJI-0891; 190838;; ; 9; 9; 9; 9;SIM;Makson
10/01/2022;0009;215/75R;100;MICHELIN;XZE2; 0; 1;DD;NOVO;DIANTEIRO;OJI-0891; 190838;; ; 10; 10; 10; 10;SIM;Makson
10/01/2022;0010;215/75R;100;GOODYEAR;XZE2; 0; 1;TEE;NOVO;TRASEIRO;OJI-0891; 190838;; ; 7; 7; 7; 7;SIM;Makson
10/01/2022;0011;215/75R;100;GOODYEAR;RHS; 0; 1;TEI;NOVO;TRASEIRO;OJI-0891; 190838;; ; 8; 8; 8; 0;SIM;Makson
10/01/2022;0012;215/75R;100;MICHELIN;XZE2; 0; 1;TDE;NOVO;TRASEIRO;OJI-0891; 190838;; ; 8; 8; 8; 0;SIM;Makson
10/01/2022;0013;215/75R;100;MICHELIN;XZE2; 0; 1;TDI;NOVO;TRASEIRO;OJI-0891; 190838;; ; 9; 9; 9; 0;SIM;Makson
10/01/2022;0014;215/75R;100;MICHELIN;RHS; 0; 1;STP1;NOVO;STEP;OJI-0891; 190838;; ; 9; 9; 9; 0;SIM;Makson
10/01/2022;0015;215/75R;100;MICHELIN;XZE2; 0; 1;DE;NOVO;DIANTEIRO;PSO-6859; 111580;; ; 12; 12; 12; 0;SIM;Makson
10/01/2022;0016;215/75R;100;MICHELIN;XZE2; 0; 1;DD;NOVO;DIANTEIRO;PSO-6859; 111580;; ; 12; 12; 12; 0;SIM;Makson
10/01/2022;0017;215/75R;100;MICHELIN;XZE2; 0; 1;TEE;NOVO;TRASEIRO;PSO-6859; 111580;; ; 12; 12; 12; 0;SIM;Makson
10/01/2022;0018;215/75R;100;MICHELIN;XZE2; 0; 1;TEI;NOVO;TRASEIRO;PSO-6859; 111580;; ; 12; 12; 12; 0;SIM;Makson
10/01/2022;0019;215/75R;100;MICHELIN;XZE2; 0; 1;TDE;NOVO;TRASEIRO;PSO-6859; 111580;; ; 11; 11; 11; 0;SIM;Makson
10/01/2022;0020;215/75R;100;MICHELIN;XZE2; 0; 1;TDI;NOVO;TRASEIRO;PSO-6859; 111580;; ; 11; 11; 11; 0;SIM;Makson
10/01/2022;0021;215/75R;110;GOODYEAR;RHS; 0; 2;ESTO;RECAPADO;Descartado;00000; 0;158957; 158957; 14; 14; 14; 14;NÃO;Makson
19/01/2022;0022;215/75R;100;MICHELIN;XZE2; 0; 1;DE;NOVO;DIANTEIRO;PSZ-3516; 110802;; ; 12; 12; 12; 0;SIM;Makson
19/01/2022;0023;215/75R;100;MICHELIN;XZE2; 0; 1;DD;NOVO;DIANTEIRO;PSZ-3516; 110802;; ; 12; 12; 12; 0;SIM;Makson
19/01/2022;0024;215/75R;100;MICHELIN;XZE2; 0; 1;TEE;NOVO;TRASEIRO;PSZ-3516; 110802;; ; 12; 12; 12; 0;SIM;Makson
19/01/2022;0025;215/75R;100;MICHELIN;XZE2; 0; 1;TEI;NOVO;TRASEIRO;PSZ-3516; 110802;; ; 12; 12; 12; 0;SIM;Makson
19/01/2022;0026;215/75R;100;MICHELIN;XZE2; 0; 1;TDE;NOVO;TRASEIRO;PSZ-3516; 110802;; ; 12; 12; 12; 0;SIM;Makson
19/01/2022;0027;215/75R;100;MICHELIN;XZE2; 0; 1;TDI;NOVO;TRASEIRO;PSZ-3516; 110802;; ; 12; 12; 12; 0;SIM;Makson
19/01/2022;0028;215/75R;100;GOODYEAR;RHS; 0; 2;STP1;RECAPADO;STEP;PSZ-3516; 110802;; ; 6; 6; 6; 0;SIM;Makson
19/01/2022;0029;215/75R;100;MICHELIN;XZE2; 0; 1;DE;NOVO;DIANTEIRO;OIX-9855; 189095;; ; 10; 10; 10; 0;SIM;Makson
19/01/2022;0030;215/75R;100;MICHELIN;XZE2; 0; 1;DD;NOVO;Descartado;00000; 0;192394; 133825; 10; 10; 10; 0;NÃO;Makson
19/01/2022;0031;215/75R;100;GOODYEAR;RHS; 0; 1;TEE;NOVO;TRASEIRO;OIX-9855; 189095;; ; 6; 6; 6; 0;SIM;Makson
19/01/2022;0032;215/75R;100;GOODYEAR;RHS; 0; 1;TEI;NOVO;TRASEIRO;OIX-9855; 189095;; ; 6; 6; 6; 0;SIM;Makson
19/01/2022;0033;215/75R;100;GOODYEAR;RHS; 0; 1;TDE;NOVO;TRASEIRO;OIX-9855; 189095;; ; 9; 9; 9; 0;SIM;Makson
19/01/2022;0034;215/75R;100;MICHELIN;XZE2; 0; 1;TDI;NOVO;TRASEIRO;OIX-9855; 189095;; ; 8; 8; 8; 0;SIM;Makson
19/01/2022;0035;215/75R;100;BFGOODRICH;ST250; 0; 1;ESTO;NOVO;Descartado;00000; 189095;189992; 897; 4; 4; 4; 0;NÃO;Makson
19/01/2022;0036;215/75R;100;GOODYEAR;RHS; 0; 1;ESTO;NOVO;Descartado;00000; 158957;153765; -5192; 11; 10; 10; 10;NÃO;Makson
19/01/2022;0037;215/75R;110;GOODYEAR;RHS; 0; 1;ESTO;NOVO;Descartado;00000; 0;158957; 158957; 4; 4; 5; 4;NÃO;Makson
19/01/2022;0038;215/75R;110;GOODYEAR;RHS; 0; 2;TEI;encapado;TRASEIRO;ROG-0G63; 3683;; 158957; 3; 3; 3; 4;SIM;Makson
19/01/2022;0039;215/75R;100;GOODYEAR;RHS; 0; 1;ESTO;NOVO;ESTOQUE;EXX-0001; 153047;; ; 3; 3; 3; 0;SIM;Makson
19/01/2022;0040;215/75R;110;PIRELLI;MC-10; 0; 2;TEI;RECAPADO;TRASEIRO;QCG-9H67; 150323;; ; 7; 6; 0; 0;SIM;Makson
19/01/2022;0041;215/75R;110;PIRELLI;MC-10; 0; 2;ESTO;RECAPADO;Descartado;00000; 0;158957; 158957; 4; 6; 0; 0;NÃO;Makson
19/01/2022;0042;215/75R;110;GOODYEAR;RHS; 0; 2;TEE;RECAPADO;TRASEIRO;QCG-9H67; 150323;; ; 14; 14; 13; 14;SIM;Makson
19/01/2022;0043;215/75R;100;GOODYEAR;RHS; 0; 2;ESTO;RECAPADO;Descartado;00000; 153047;158957; 5910; 14; 13; 13; 14;NÃO;Makson
19/01/2022;00036;275/75R;115;GOODYEAR;KMAX; 0; 1;DE;NOVO;DIANTEIRO;0000; 59316;597370; 538054; 10; 10; 10; 10;NÃO;Makson
19/01/2022;0045;275/75R;115;GOODYEAR;KMAX; 0; 1;ESTO; NOVO;Descartado;00000; 14938;59316; 44378; 9; 9; 9; 9;NÃO;Makson
19/01/2022;0046;275/75R;115;MICHELIN;X MULTI; 0; 2;TEI;RECAPADO;TRASEIRO;PTO-1758; 14938;; ; 10; 8; 9; 10;SIM;Makson
19/01/2022;0047;275/75R;115;MICHELIN;X MULTI; 0; 2;ESTO;RECAPADO;Descartado;00000; 93982;93982; 56040; 10; 10; 10; 10;NÃO;Makson
19/01/2022;0048;275/75R;115;MICHELIN;X MULTI; 0; 2;TDE;RECAPADO;TRASEIRO;PTO-1758; 59603;; -2171; 7; 7; 7; 7;SIM;Makson
19/01/2022;0049;275/75R;115;MICHELIN;X MULTI; 0; 2;ESTO;RECAPADO;Descartado;00000; 14938;59316; 44378; 8; 7; 7; 7;NÃO;Makson
19/01/2022;0050;275/75R;115;MICHELIN;X MULTI; 0; 2;STP1;RECAPADO;STEP;PTO-1758; 14938;; ; 12; 12; 12; 12;SIM;Makson
20/01/2022;0058;275/75R;120;PIRELLI;FR88; 0; 1;ESTO;NOVO;Estoque;EXX-0001; 117589;; ; 10; 11; 11; 10;SIM;Makson
20/01/2022;0059;275/75R;120;PIRELLI;FR88; 0; 1;DD;NOVO;DIANTEIRO;ROG-0G55; 112597;; 152922; 14; 14; 14; 0;SIM;Makson
20/01/2022;0060;275/75R;120;PIRELLI;R268; 0; 2;STP1;RECAPADO;STEP;0000; 132419;170629; 71824; 9; 9; 9; 0;NÃO;Makson
20/01/2022;0061;275/75R;120;BRIDGESTONE;R268; 0; 2;STP1;RECAPADO;STEP;ROF-6J85; 9417;; 28277; 8; 8; 8; 0;SIM;Makson
20/01/2022;0062;275/75R;120;MICHELIN;X MULTI; 0; 2;STPI;RECAPADO S/G;STEP;ROE-9J69; 41116;; ; 7; 5; 5; 5;SIM;Makson
20/01/2022;0063;275/75R;120;MICHELIN;X MULTI; 0; 2;ESTO;RECAPADO;ESTOQUE;000; 98805;98805; 0; 10; 10; 10; 0;NÃO;Makson
20/01/2022;0064;275/75R;120;GOODYEAR;KMAX-S; 0; 2;ESTO;RECAPADO;Descartado;00000; 132419;129924; 31119; 7; 7; 7; 0;NÃO;Makson
20/01/2022;0051;275/75R;115;GOODYEAR;KMAX-S; 0; 2;ESTO;encapado;Descartado;00000; 11493;118522; 107029; 8; 8; 8; 0;NÃO;Makson
20/01/2022;0052;275/75R;115;GOODYEAR;KMAX-S; 0; 1;ESTO;NOVO;ESTOQUE;EXX-0001; 78506;; ; 9; 9; 9; 0;SIM;Makson
20/01/2022;0053;275/75R;115;GOODYEAR;KMAX-S; 0; 2;TEE;RECAPADO;TRASEIRO;PTO-4479; 78506;; ; 15; 15; 15; 0;SIM;Makson
20/01/2022;0054;275/75R;115;GOODYEAR;KMAX-S; 0; 2;TEI;RECAPADO;TRASEIRO;PTO-4479; 78506;; ; 15; 15; 15; 0;SIM;Makson
20/01/2022;0055;275/75R;115;MICHELIN;X MULTI; 0; 2;TDE;RECAPADO;TRASEIRO;PTO-4479; 78506;; ; 15; 15; 15; 0;SIM;Makson
20/01/2022;0056;275/75R;115;GOODYEAR;KMAX-S; 0; 2;TDI;RECAPADO;TRASEIRO;PTO-4479; 78506;; ; 15; 15; 15; 0;SIM;Makson
20/01/2022;0057;275/75R;115;PIRELLI;FR88; 0; 2;TEI;RECAPADO;TRASEIRO;PTP-0263; 76433;; 16425; 15; 15; 15; 0;SIM;Makson
20/01/2022;0065;275/75R;115;PIRELLI;FR88; 0; 1;DE;NOVO;DIANTEIRO;PTP-0233; 71159;; ; 14; 14; 14; 0;SIM;Makson
20/01/2022;0066;275/75R;115;PIRELLI;FR88; 0; 1;ESTO;NOVO;Descartado;00000; 123512;123512; 22823; 14; 14; 14; 0;NÃO;Makson
20/01/2022;0067;275/75R;110;MICHELIN;X MULTI; 0; 2;TEI;RECAPADO;TRASEIRO;PTO-5320; 120759;; 0; 16; 16; 16; 0;SIM;Makson
20/01/2022;0068;275/75R;110;MICHELIN;X MULTI; 0; 2;TEE;RECAPADO;TRASEIRO;PTO-5320; 106737;; ; 15; 15; 15; 0;SIM;Makson
20/01/2022;0069;275/75R;110;MICHELIN;X MULTI; 0; 2;TDE;RECAPADO;TRASEIRO;PTP-0233; 71159;; ; 15; 15; 15; 0;SIM;Makson
20/01/2022;0070;275/75R;110;MICHELIN;X MULTI; 0; 2;TDI;RECAPADO;TRASEIRO;PTP-0233; 71159;; ; 15; 15; 15; 0;SIM;Makson
